id;time;change;insert_time;fk_measurement_station_id
41169;2022-05-09 09:58:58.637799 +00:00;1;2022-05-09 09:58:58.980650 +00:00;2
41170;2022-05-09 09:59:13.711994 +00:00;-1;2022-05-09 09:59:14.018943 +00:00;6
41171;2022-05-09 09:59:21.665120 +00:00;1;2022-05-09 09:59:22.026871 +00:00;2
41172;2022-05-09 09:59:26.698908 +00:00;1;2022-05-09 09:59:26.969110 +00:00;2
41173;2022-05-09 09:59:28.054689 +00:00;-1;2022-05-09 09:59:28.269355 +00:00;2
41174;2022-05-09 09:59:30.632081 +00:00;-1;2022-05-09 09:59:31.046821 +00:00;2
41175;2022-05-09 09:59:40.648455 +00:00;1;2022-05-09 09:59:41.011809 +00:00;2
41176;2022-05-09 09:59:53.722432 +00:00;-1;2022-05-09 09:59:54.415312 +00:00;2
41177;2022-05-09 09:59:53.991051 +00:00;1;2022-05-09 09:59:54.551064 +00:00;2
41178;2022-05-09 09:59:54.948606 +00:00;-1;2022-05-09 09:59:55.155712 +00:00;2
41179;2022-05-09 09:59:58.502744 +00:00;-1;2022-05-09 09:59:58.724666 +00:00;2
41180;2022-05-09 10:00:00.897886 +00:00;-1;2022-05-09 10:00:01.225025 +00:00;2
41181;2022-05-09 10:00:09.739239 +00:00;1;2022-05-09 10:00:10.169211 +00:00;2
41182;2022-05-09 10:00:10.765199 +00:00;1;2022-05-09 10:00:11.040394 +00:00;2
41183;2022-05-09 10:00:21.518929 +00:00;-1;2022-05-09 10:00:21.885536 +00:00;2
41184;2022-05-09 10:00:22.429262 +00:00;1;2022-05-09 10:00:22.875373 +00:00;2
41185;2022-05-09 10:00:27.670480 +00:00;1;2022-05-09 10:00:27.912093 +00:00;2
41186;2022-05-09 10:00:51.465860 +00:00;1;2022-05-09 10:00:51.822743 +00:00;2
